Territorio;Medida;Valor;
Almería;Confirmados PDIA;136567;
Almería;Confirmados PDIA 14 días;0;
Almería;Tasa PDIA 14 días;0;
Almería;Confirmados PDIA 7 días;0;
Almería;Tasa PDIA 7 dias;0;
Almería;Total Confirmados ;136892;
Almería;Curados;135106;
Almería;Fallecidos;1167;
Almería (distrito);Confirmados PDIA;67287;
Almería (distrito);Confirmados PDIA 14 días;0;
Almería (distrito);Tasa PDIA 14 días;0;
Almería (distrito);Confirmados PDIA 7 días;0;
Almería (distrito);Tasa PDIA 7 dias;0;
Almería (distrito);Total Confirmados ;67475;
Almería (distrito);Curados;66582;
Almería (distrito);Fallecidos;541;
Abla;Confirmados PDIA;262;
Abla;Confirmados PDIA 14 días;0;
Abla;Tasa PDIA 14 días;0;
Abla;Confirmados PDIA 7 días;0;
Abla;Tasa PDIA 7 dias;0;
Abla;Total Confirmados ;262;
Abla;Curados;253;
Abla;Fallecidos;5;
Abrucena;Confirmados PDIA;198;
Abrucena;Confirmados PDIA 14 días;0;
Abrucena;Tasa PDIA 14 días;0;
Abrucena;Confirmados PDIA 7 días;0;
Abrucena;Tasa PDIA 7 dias;0;
Abrucena;Total Confirmados ;198;
Abrucena;Curados;197;
Abrucena;Fallecidos;1;
Alboloduy;Confirmados PDIA;52;
Alboloduy;Confirmados PDIA 14 días;0;
Alboloduy;Tasa PDIA 14 días;0;
Alboloduy;Confirmados PDIA 7 días;0;
Alboloduy;Tasa PDIA 7 dias;0;
Alboloduy;Total Confirmados ;52;
Alboloduy;Curados;51;
Alboloduy;Fallecidos;1;
Alcudia de Monteagud;Confirmados PDIA;9;
Alcudia de Monteagud;Confirmados PDIA 14 días;0;
Alcudia de Monteagud;Tasa PDIA 14 días;0;
Alcudia de Monteagud;Confirmados PDIA 7 días;0;
Alcudia de Monteagud;Tasa PDIA 7 dias;0;
Alcudia de Monteagud;Total Confirmados ;9;
Alcudia de Monteagud;Curados;9;
Alcudia de Monteagud;Fallecidos;0;
Alhabia;Confirmados PDIA;104;
Alhabia;Confirmados PDIA 14 días;0;
Alhabia;Tasa PDIA 14 días;0;
Alhabia;Confirmados PDIA 7 días;0;
Alhabia;Tasa PDIA 7 dias;0;
Alhabia;Total Confirmados ;105;
Alhabia;Curados;105;
Alhabia;Fallecidos;0;
Alhama de Almería;Confirmados PDIA;845;
Alhama de Almería;Confirmados PDIA 14 días;0;
Alhama de Almería;Tasa PDIA 14 días;0;
Alhama de Almería;Confirmados PDIA 7 días;0;
Alhama de Almería;Tasa PDIA 7 dias;0;
Alhama de Almería;Total Confirmados ;847;
Alhama de Almería;Curados;830;
Alhama de Almería;Fallecidos;16;
Alicún;Confirmados PDIA;24;
Alicún;Confirmados PDIA 14 días;0;
Alicún;Tasa PDIA 14 días;0;
Alicún;Confirmados PDIA 7 días;0;
Alicún;Tasa PDIA 7 dias;0;
Alicún;Total Confirmados ;24;
Alicún;Curados;24;
Alicún;Fallecidos;0;
Almería (capital);Confirmados PDIA;46944;
Almería (capital);Confirmados PDIA 14 días;0;
Almería (capital);Tasa PDIA 14 días;0;
Almería (capital);Confirmados PDIA 7 días;0;
Almería (capital);Tasa PDIA 7 dias;0;
Almería (capital);Total Confirmados ;47106;
Almería (capital);Curados;46512;
Almería (capital);Fallecidos;349;
Almócita;Confirmados PDIA;31;
Almócita;Confirmados PDIA 14 días;0;
Almócita;Tasa PDIA 14 días;0;
Almócita;Confirmados PDIA 7 días;0;
Almócita;Tasa PDIA 7 dias;0;
Almócita;Total Confirmados ;31;
Almócita;Curados;29;
Almócita;Fallecidos;2;
Alsodux;Confirmados PDIA;3;
Alsodux;Confirmados PDIA 14 días;0;
Alsodux;Tasa PDIA 14 días;0;
Alsodux;Confirmados PDIA 7 días;0;
Alsodux;Tasa PDIA 7 dias;0;
Alsodux;Total Confirmados ;3;
Alsodux;Curados;3;
Alsodux;Fallecidos;0;
Beires;Confirmados PDIA;13;
Beires;Confirmados PDIA 14 días;0;
Beires;Tasa PDIA 14 días;0;
Beires;Confirmados PDIA 7 días;0;
Beires;Tasa PDIA 7 dias;0;
Beires;Total Confirmados ;13;
Beires;Curados;13;
Beires;Fallecidos;0;
Benahadux;Confirmados PDIA;996;
Benahadux;Confirmados PDIA 14 días;0;
Benahadux;Tasa PDIA 14 días;0;
Benahadux;Confirmados PDIA 7 días;0;
Benahadux;Tasa PDIA 7 dias;0;
Benahadux;Total Confirmados ;997;
Benahadux;Curados;989;
Benahadux;Fallecidos;3;
Benitagla;Confirmados PDIA;;
Benitagla;Confirmados PDIA 14 días;;
Benitagla;Tasa PDIA 14 días;0;
Benitagla;Confirmados PDIA 7 días;;
Benitagla;Tasa PDIA 7 dias;0;
Benitagla;Total Confirmados ;;
Benitagla;Curados;;
Benitagla;Fallecidos;;
Benizalón;Confirmados PDIA;17;
Benizalón;Confirmados PDIA 14 días;0;
Benizalón;Tasa PDIA 14 días;0;
Benizalón;Confirmados PDIA 7 días;0;
Benizalón;Tasa PDIA 7 dias;0;
Benizalón;Total Confirmados ;18;
Benizalón;Curados;17;
Benizalón;Fallecidos;0;
Bentarique;Confirmados PDIA;28;
Bentarique;Confirmados PDIA 14 días;0;
Bentarique;Tasa PDIA 14 días;0;
Bentarique;Confirmados PDIA 7 días;0;
Bentarique;Tasa PDIA 7 dias;0;
Bentarique;Total Confirmados ;28;
Bentarique;Curados;28;
Bentarique;Fallecidos;0;
Canjáyar;Confirmados PDIA;163;
Canjáyar;Confirmados PDIA 14 días;0;
Canjáyar;Tasa PDIA 14 días;0;
Canjáyar;Confirmados PDIA 7 días;0;
Canjáyar;Tasa PDIA 7 dias;0;
Canjáyar;Total Confirmados ;163;
Canjáyar;Curados;156;
Canjáyar;Fallecidos;3;
Carboneras;Confirmados PDIA;1445;
Carboneras;Confirmados PDIA 14 días;0;
Carboneras;Tasa PDIA 14 días;0;
Carboneras;Confirmados PDIA 7 días;0;
Carboneras;Tasa PDIA 7 dias;0;
Carboneras;Total Confirmados ;1447;
Carboneras;Curados;1425;
Carboneras;Fallecidos;16;
Castro de Filabres;Confirmados PDIA;3;
Castro de Filabres;Confirmados PDIA 14 días;0;
Castro de Filabres;Tasa PDIA 14 días;0;
Castro de Filabres;Confirmados PDIA 7 días;0;
Castro de Filabres;Tasa PDIA 7 dias;0;
Castro de Filabres;Total Confirmados ;3;
Castro de Filabres;Curados;3;
Castro de Filabres;Fallecidos;0;
Fiñana;Confirmados PDIA;470;
Fiñana;Confirmados PDIA 14 días;0;
Fiñana;Tasa PDIA 14 días;0;
Fiñana;Confirmados PDIA 7 días;0;
Fiñana;Tasa PDIA 7 dias;0;
Fiñana;Total Confirmados ;470;
Fiñana;Curados;463;
Fiñana;Fallecidos;5;
Gádor;Confirmados PDIA;536;
Gádor;Confirmados PDIA 14 días;0;
Gádor;Tasa PDIA 14 días;0;
Gádor;Confirmados PDIA 7 días;0;
Gádor;Tasa PDIA 7 dias;0;
Gádor;Total Confirmados ;537;
Gádor;Curados;537;
Gádor;Fallecidos;0;
Gérgal;Confirmados PDIA;177;
Gérgal;Confirmados PDIA 14 días;0;
Gérgal;Tasa PDIA 14 días;0;
Gérgal;Confirmados PDIA 7 días;0;
Gérgal;Tasa PDIA 7 dias;0;
Gérgal;Total Confirmados ;177;
Gérgal;Curados;171;
Gérgal;Fallecidos;5;
Huécija;Confirmados PDIA;60;
Huécija;Confirmados PDIA 14 días;0;
Huécija;Tasa PDIA 14 días;0;
Huécija;Confirmados PDIA 7 días;0;
Huécija;Tasa PDIA 7 dias;0;
Huécija;Total Confirmados ;60;
Huécija;Curados;58;
Huécija;Fallecidos;1;
Huércal de Almería;Confirmados PDIA;3904;
Huércal de Almería;Confirmados PDIA 14 días;0;
Huércal de Almería;Tasa PDIA 14 días;0;
Huércal de Almería;Confirmados PDIA 7 días;0;
Huércal de Almería;Tasa PDIA 7 dias;0;
Huércal de Almería;Total Confirmados ;3911;
Huércal de Almería;Curados;3869;
Huércal de Almería;Fallecidos;21;
Íllar;Confirmados PDIA;131;
Íllar;Confirmados PDIA 14 días;0;
Íllar;Tasa PDIA 14 días;0;
Íllar;Confirmados PDIA 7 días;0;
Íllar;Tasa PDIA 7 dias;0;
Íllar;Total Confirmados ;133;
Íllar;Curados;116;
Íllar;Fallecidos;16;
Instinción;Confirmados PDIA;95;
Instinción;Confirmados PDIA 14 días;0;
Instinción;Tasa PDIA 14 días;0;
Instinción;Confirmados PDIA 7 días;0;
Instinción;Tasa PDIA 7 dias;0;
Instinción;Total Confirmados ;95;
Instinción;Curados;94;
Instinción;Fallecidos;1;
Lubrín;Confirmados PDIA;153;
Lubrín;Confirmados PDIA 14 días;0;
Lubrín;Tasa PDIA 14 días;0;
Lubrín;Confirmados PDIA 7 días;0;
Lubrín;Tasa PDIA 7 dias;0;
Lubrín;Total Confirmados ;153;
Lubrín;Curados;151;
Lubrín;Fallecidos;2;
Lucainena de las Torres;Confirmados PDIA;34;
Lucainena de las Torres;Confirmados PDIA 14 días;0;
Lucainena de las Torres;Tasa PDIA 14 días;0;
Lucainena de las Torres;Confirmados PDIA 7 días;0;
Lucainena de las Torres;Tasa PDIA 7 dias;0;
Lucainena de las Torres;Total Confirmados ;34;
Lucainena de las Torres;Curados;33;
Lucainena de las Torres;Fallecidos;0;
Nacimiento;Confirmados PDIA;84;
Nacimiento;Confirmados PDIA 14 días;0;
Nacimiento;Tasa PDIA 14 días;0;
Nacimiento;Confirmados PDIA 7 días;0;
Nacimiento;Tasa PDIA 7 dias;0;
Nacimiento;Total Confirmados ;84;
Nacimiento;Curados;83;
Nacimiento;Fallecidos;0;
Níjar;Confirmados PDIA;6346;
Níjar;Confirmados PDIA 14 días;0;
Níjar;Tasa PDIA 14 días;0;
Níjar;Confirmados PDIA 7 días;0;
Níjar;Tasa PDIA 7 dias;0;
Níjar;Total Confirmados ;6351;
Níjar;Curados;6258;
Níjar;Fallecidos;56;
Ohanes;Confirmados PDIA;60;
Ohanes;Confirmados PDIA 14 días;0;
Ohanes;Tasa PDIA 14 días;0;
Ohanes;Confirmados PDIA 7 días;0;
Ohanes;Tasa PDIA 7 dias;0;
Ohanes;Total Confirmados ;60;
Ohanes;Curados;57;
Ohanes;Fallecidos;2;
Olula de Castro;Confirmados PDIA;4;
Olula de Castro;Confirmados PDIA 14 días;0;
Olula de Castro;Tasa PDIA 14 días;0;
Olula de Castro;Confirmados PDIA 7 días;0;
Olula de Castro;Tasa PDIA 7 dias;0;
Olula de Castro;Total Confirmados ;4;
Olula de Castro;Curados;4;
Olula de Castro;Fallecidos;0;
Padules;Confirmados PDIA;63;
Padules;Confirmados PDIA 14 días;0;
Padules;Tasa PDIA 14 días;0;
Padules;Confirmados PDIA 7 días;0;
Padules;Tasa PDIA 7 dias;0;
Padules;Total Confirmados ;63;
Padules;Curados;61;
Padules;Fallecidos;2;
Pechina;Confirmados PDIA;909;
Pechina;Confirmados PDIA 14 días;0;
Pechina;Tasa PDIA 14 días;0;
Pechina;Confirmados PDIA 7 días;0;
Pechina;Tasa PDIA 7 dias;0;
Pechina;Total Confirmados ;912;
Pechina;Curados;899;
Pechina;Fallecidos;9;
Rágol;Confirmados PDIA;39;
Rágol;Confirmados PDIA 14 días;0;
Rágol;Tasa PDIA 14 días;0;
Rágol;Confirmados PDIA 7 días;0;
Rágol;Tasa PDIA 7 dias;0;
Rágol;Total Confirmados ;40;
Rágol;Curados;37;
Rágol;Fallecidos;2;
Rioja;Confirmados PDIA;281;
Rioja;Confirmados PDIA 14 días;0;
Rioja;Tasa PDIA 14 días;0;
Rioja;Confirmados PDIA 7 días;0;
Rioja;Tasa PDIA 7 dias;0;
Rioja;Total Confirmados ;281;
