Territorio;Medida;Valor;
Cádiz;Confirmados PDIA;192084;
Cádiz;Confirmados PDIA 14 días;579;
Cádiz;Tasa PDIA 14 días;0;
Cádiz;Confirmados PDIA 7 días;0;
Cádiz;Tasa PDIA 7 dias;0;
Cádiz;Total Confirmados ;192482;
Cádiz;Curados;187486;
Cádiz;Fallecidos;1797;
Campo de Gibraltar Oeste;Confirmados PDIA;27479;
Campo de Gibraltar Oeste;Confirmados PDIA 14 días;113;
Campo de Gibraltar Oeste;Tasa PDIA 14 días;0;
Campo de Gibraltar Oeste;Confirmados PDIA 7 días;0;
Campo de Gibraltar Oeste;Tasa PDIA 7 dias;0;
Campo de Gibraltar Oeste;Total Confirmados ;27556;
Campo de Gibraltar Oeste;Curados;26794;
Campo de Gibraltar Oeste;Fallecidos;412;
Algeciras;Confirmados PDIA;20692;
Algeciras;Confirmados PDIA 14 días;92;
Algeciras;Tasa PDIA 14 días;0;
Algeciras;Confirmados PDIA 7 días;0;
Algeciras;Tasa PDIA 7 dias;0;
Algeciras;Total Confirmados ;20750;
Algeciras;Curados;20216;
Algeciras;Fallecidos;291;
Barrios (Los);Confirmados PDIA;3999;
Barrios (Los);Confirmados PDIA 14 días;13;
Barrios (Los);Tasa PDIA 14 días;0;
Barrios (Los);Confirmados PDIA 7 días;0;
Barrios (Los);Tasa PDIA 7 dias;0;
Barrios (Los);Total Confirmados ;4011;
Barrios (Los);Curados;3868;
Barrios (Los);Fallecidos;88;
Tarifa;Confirmados PDIA;2788;
Tarifa;Confirmados PDIA 14 días;8;
Tarifa;Tasa PDIA 14 días;0;
Tarifa;Confirmados PDIA 7 días;0;
Tarifa;Tasa PDIA 7 dias;0;
Tarifa;Total Confirmados ;2795;
Tarifa;Curados;2710;
Tarifa;Fallecidos;33;
Campo de Gibraltar Este;Confirmados PDIA;20143;
Campo de Gibraltar Este;Confirmados PDIA 14 días;57;
Campo de Gibraltar Este;Tasa PDIA 14 días;0;
Campo de Gibraltar Este;Confirmados PDIA 7 días;0;
Campo de Gibraltar Este;Tasa PDIA 7 dias;0;
Campo de Gibraltar Este;Total Confirmados ;20167;
Campo de Gibraltar Este;Curados;19798;
Campo de Gibraltar Este;Fallecidos;193;
Castellar de la Frontera;Confirmados PDIA;706;
Castellar de la Frontera;Confirmados PDIA 14 días;1;
Castellar de la Frontera;Tasa PDIA 14 días;0;
Castellar de la Frontera;Confirmados PDIA 7 días;0;
Castellar de la Frontera;Tasa PDIA 7 dias;0;
Castellar de la Frontera;Total Confirmados ;706;
Castellar de la Frontera;Curados;698;
Castellar de la Frontera;Fallecidos;4;
Jimena de la Frontera;Confirmados PDIA;1191;
Jimena de la Frontera;Confirmados PDIA 14 días;6;
Jimena de la Frontera;Tasa PDIA 14 días;0;
Jimena de la Frontera;Confirmados PDIA 7 días;0;
Jimena de la Frontera;Tasa PDIA 7 dias;0;
Jimena de la Frontera;Total Confirmados ;1194;
Jimena de la Frontera;Curados;1169;
Jimena de la Frontera;Fallecidos;11;
San Martín del Tesorillo;Confirmados PDIA;384;
San Martín del Tesorillo;Confirmados PDIA 14 días;1;
San Martín del Tesorillo;Tasa PDIA 14 días;0;
San Martín del Tesorillo;Confirmados PDIA 7 días;0;
San Martín del Tesorillo;Tasa PDIA 7 dias;0;
San Martín del Tesorillo;Total Confirmados ;384;
San Martín del Tesorillo;Curados;379;
San Martín del Tesorillo;Fallecidos;3;
Línea de la Concepción (La);Confirmados PDIA;12257;
Línea de la Concepción (La);Confirmados PDIA 14 días;32;
Línea de la Concepción (La);Tasa PDIA 14 días;0;
Línea de la Concepción (La);Confirmados PDIA 7 días;0;
Línea de la Concepción (La);Tasa PDIA 7 dias;0;
Línea de la Concepción (La);Total Confirmados ;12271;
Línea de la Concepción (La);Curados;12049;
Línea de la Concepción (La);Fallecidos;123;
San Roque;Confirmados PDIA;5605;
San Roque;Confirmados PDIA 14 días;17;
San Roque;Tasa PDIA 14 días;0;
San Roque;Confirmados PDIA 7 días;0;
San Roque;Tasa PDIA 7 dias;0;
San Roque;Total Confirmados ;5612;
San Roque;Curados;5503;
San Roque;Fallecidos;52;
Bahía de Cádiz-La Janda;Confirmados PDIA;72009;
Bahía de Cádiz-La Janda;Confirmados PDIA 14 días;207;
Bahía de Cádiz-La Janda;Tasa PDIA 14 días;0;
Bahía de Cádiz-La Janda;Confirmados PDIA 7 días;0;
Bahía de Cádiz-La Janda;Tasa PDIA 7 dias;0;
Bahía de Cádiz-La Janda;Total Confirmados ;72176;
Bahía de Cádiz-La Janda;Curados;70054;
Bahía de Cádiz-La Janda;Fallecidos;436;
Alcalá de los Gazules;Confirmados PDIA;676;
Alcalá de los Gazules;Confirmados PDIA 14 días;3;
Alcalá de los Gazules;Tasa PDIA 14 días;0;
Alcalá de los Gazules;Confirmados PDIA 7 días;0;
Alcalá de los Gazules;Tasa PDIA 7 dias;0;
Alcalá de los Gazules;Total Confirmados ;676;
Alcalá de los Gazules;Curados;656;
Alcalá de los Gazules;Fallecidos;3;
Barbate de Franco;Confirmados PDIA;;
Barbate de Franco;Confirmados PDIA 14 días;;
Barbate de Franco;Tasa PDIA 14 días;0;
Barbate de Franco;Confirmados PDIA 7 días;;
Barbate de Franco;Tasa PDIA 7 dias;0;
Barbate de Franco;Total Confirmados ;;
Barbate de Franco;Curados;;
Barbate de Franco;Fallecidos;;
Barbate;Confirmados PDIA;3445;
Barbate;Confirmados PDIA 14 días;10;
Barbate;Tasa PDIA 14 días;0;
Barbate;Confirmados PDIA 7 días;0;
Barbate;Tasa PDIA 7 dias;0;
Barbate;Total Confirmados ;3447;
Barbate;Curados;3338;
Barbate;Fallecidos;27;
Benalup-Casas Viejas;Confirmados PDIA;1191;
Benalup-Casas Viejas;Confirmados PDIA 14 días;1;
Benalup-Casas Viejas;Tasa PDIA 14 días;0;
Benalup-Casas Viejas;Confirmados PDIA 7 días;0;
Benalup-Casas Viejas;Tasa PDIA 7 dias;0;
Benalup-Casas Viejas;Total Confirmados ;1198;
Benalup-Casas Viejas;Curados;1169;
Benalup-Casas Viejas;Fallecidos;7;
Benalup;Confirmados PDIA;;
Benalup;Confirmados PDIA 14 días;;
Benalup;Tasa PDIA 14 días;0;
Benalup;Confirmados PDIA 7 días;;
Benalup;Tasa PDIA 7 dias;0;
Benalup;Total Confirmados ;;
Benalup;Curados;;
Benalup;Fallecidos;;
Cádiz (capital);Confirmados PDIA;16541;
Cádiz (capital);Confirmados PDIA 14 días;60;
Cádiz (capital);Tasa PDIA 14 días;0;
Cádiz (capital);Confirmados PDIA 7 días;0;
Cádiz (capital);Tasa PDIA 7 dias;0;
Cádiz (capital);Total Confirmados ;16599;
Cádiz (capital);Curados;16056;
