Territorio;Medida;Valor;
Córdoba;Confirmados PDIA;144597;
Córdoba;Confirmados PDIA 14 días;0;
Córdoba;Tasa PDIA 14 días;0;
Córdoba;Confirmados PDIA 7 días;0;
Córdoba;Tasa PDIA 7 dias;0;
Córdoba;Total Confirmados ;145134;
Córdoba;Curados;142230;
Córdoba;Fallecidos;1345;
Córdoba (distrito);Confirmados PDIA;66579;
Córdoba (distrito);Confirmados PDIA 14 días;0;
Córdoba (distrito);Tasa PDIA 14 días;0;
Córdoba (distrito);Confirmados PDIA 7 días;0;
Córdoba (distrito);Tasa PDIA 7 dias;0;
Córdoba (distrito);Total Confirmados ;66900;
Córdoba (distrito);Curados;65674;
Córdoba (distrito);Fallecidos;529;
Córdoba (capital);Confirmados PDIA;66579;
Córdoba (capital);Confirmados PDIA 14 días;0;
Córdoba (capital);Tasa PDIA 14 días;0;
Córdoba (capital);Confirmados PDIA 7 días;0;
Córdoba (capital);Tasa PDIA 7 dias;0;
Córdoba (capital);Total Confirmados ;66900;
Córdoba (capital);Curados;65674;
Córdoba (capital);Fallecidos;529;
Córdoba Sur;Confirmados PDIA;43316;
Córdoba Sur;Confirmados PDIA 14 días;0;
Córdoba Sur;Tasa PDIA 14 días;0;
Córdoba Sur;Confirmados PDIA 7 días;0;
Córdoba Sur;Tasa PDIA 7 dias;0;
Córdoba Sur;Total Confirmados ;43460;
Córdoba Sur;Curados;42507;
Córdoba Sur;Fallecidos;436;
Aguilar de la Frontera;Confirmados PDIA;2458;
Aguilar de la Frontera;Confirmados PDIA 14 días;0;
Aguilar de la Frontera;Tasa PDIA 14 días;0;
Aguilar de la Frontera;Confirmados PDIA 7 días;0;
Aguilar de la Frontera;Tasa PDIA 7 dias;0;
Aguilar de la Frontera;Total Confirmados ;2464;
Aguilar de la Frontera;Curados;2398;
Aguilar de la Frontera;Fallecidos;29;
Almedinilla;Confirmados PDIA;349;
Almedinilla;Confirmados PDIA 14 días;0;
Almedinilla;Tasa PDIA 14 días;0;
Almedinilla;Confirmados PDIA 7 días;0;
Almedinilla;Tasa PDIA 7 dias;0;
Almedinilla;Total Confirmados ;349;
Almedinilla;Curados;340;
Almedinilla;Fallecidos;6;
Baena;Confirmados PDIA;3137;
Baena;Confirmados PDIA 14 días;0;
Baena;Tasa PDIA 14 días;0;
Baena;Confirmados PDIA 7 días;0;
Baena;Tasa PDIA 7 dias;0;
Baena;Total Confirmados ;3150;
Baena;Curados;3084;
Baena;Fallecidos;40;
Benamejí;Confirmados PDIA;1255;
Benamejí;Confirmados PDIA 14 días;0;
Benamejí;Tasa PDIA 14 días;0;
Benamejí;Confirmados PDIA 7 días;0;
Benamejí;Tasa PDIA 7 dias;0;
Benamejí;Total Confirmados ;1256;
Benamejí;Curados;1230;
Benamejí;Fallecidos;12;
Cabra;Confirmados PDIA;3385;
Cabra;Confirmados PDIA 14 días;0;
Cabra;Tasa PDIA 14 días;0;
Cabra;Confirmados PDIA 7 días;0;
Cabra;Tasa PDIA 7 dias;0;
Cabra;Total Confirmados ;3393;
Cabra;Curados;3315;
Cabra;Fallecidos;36;
Carcabuey;Confirmados PDIA;262;
Carcabuey;Confirmados PDIA 14 días;0;
Carcabuey;Tasa PDIA 14 días;0;
Carcabuey;Confirmados PDIA 7 días;0;
Carcabuey;Tasa PDIA 7 dias;0;
Carcabuey;Total Confirmados ;263;
Carcabuey;Curados;255;
Carcabuey;Fallecidos;3;
Castro del Río;Confirmados PDIA;1046;
Castro del Río;Confirmados PDIA 14 días;0;
Castro del Río;Tasa PDIA 14 días;0;
Castro del Río;Confirmados PDIA 7 días;0;
Castro del Río;Tasa PDIA 7 dias;0;
Castro del Río;Total Confirmados ;1048;
Castro del Río;Curados;1020;
Castro del Río;Fallecidos;16;
Doña Mencía;Confirmados PDIA;1219;
Doña Mencía;Confirmados PDIA 14 días;0;
Doña Mencía;Tasa PDIA 14 días;0;
Doña Mencía;Confirmados PDIA 7 días;0;
Doña Mencía;Tasa PDIA 7 dias;0;
Doña Mencía;Total Confirmados ;1219;
Doña Mencía;Curados;1203;
Doña Mencía;Fallecidos;1;
Encinas Reales;Confirmados PDIA;372;
Encinas Reales;Confirmados PDIA 14 días;0;
Encinas Reales;Tasa PDIA 14 días;0;
Encinas Reales;Confirmados PDIA 7 días;0;
Encinas Reales;Tasa PDIA 7 dias;0;
Encinas Reales;Total Confirmados ;372;
Encinas Reales;Curados;365;
Encinas Reales;Fallecidos;1;
Espejo;Confirmados PDIA;410;
Espejo;Confirmados PDIA 14 días;0;
Espejo;Tasa PDIA 14 días;0;
Espejo;Confirmados PDIA 7 días;0;
Espejo;Tasa PDIA 7 dias;0;
Espejo;Total Confirmados ;410;
Espejo;Curados;400;
Espejo;Fallecidos;7;
Fernán-Núñez;Confirmados PDIA;1821;
Fernán-Núñez;Confirmados PDIA 14 días;0;
Fernán-Núñez;Tasa PDIA 14 días;0;
Fernán-Núñez;Confirmados PDIA 7 días;0;
Fernán-Núñez;Tasa PDIA 7 dias;0;
Fernán-Núñez;Total Confirmados ;1824;
Fernán-Núñez;Curados;1800;
Fernán-Núñez;Fallecidos;12;
Fuente-Tójar;Confirmados PDIA;112;
Fuente-Tójar;Confirmados PDIA 14 días;0;
Fuente-Tójar;Tasa PDIA 14 días;0;
Fuente-Tójar;Confirmados PDIA 7 días;0;
Fuente-Tójar;Tasa PDIA 7 dias;0;
Fuente-Tójar;Total Confirmados ;114;
Fuente-Tójar;Curados;111;
Fuente-Tójar;Fallecidos;2;
Guijarrosa (La);Confirmados PDIA;174;
Guijarrosa (La);Confirmados PDIA 14 días;0;
Guijarrosa (La);Tasa PDIA 14 días;0;
Guijarrosa (La);Confirmados PDIA 7 días;0;
Guijarrosa (La);Tasa PDIA 7 dias;0;
Guijarrosa (La);Total Confirmados ;175;
Guijarrosa (La);Curados;171;
Guijarrosa (La);Fallecidos;2;
Iznájar;Confirmados PDIA;532;
Iznájar;Confirmados PDIA 14 días;0;
Iznájar;Tasa PDIA 14 días;0;
Iznájar;Confirmados PDIA 7 días;0;
Iznájar;Tasa PDIA 7 dias;0;
Iznájar;Total Confirmados ;534;
Iznájar;Curados;512;
Iznájar;Fallecidos;11;
Lucena;Confirmados PDIA;7842;
Lucena;Confirmados PDIA 14 días;0;
Lucena;Tasa PDIA 14 días;0;
Lucena;Confirmados PDIA 7 días;0;
Lucena;Tasa PDIA 7 dias;0;
Lucena;Total Confirmados ;7872;
Lucena;Curados;7723;
Lucena;Fallecidos;52;
Luque;Confirmados PDIA;479;
Luque;Confirmados PDIA 14 días;0;
Luque;Tasa PDIA 14 días;0;
Luque;Confirmados PDIA 7 días;0;
Luque;Tasa PDIA 7 dias;0;
Luque;Total Confirmados ;480;
Luque;Curados;473;
Luque;Fallecidos;3;
Montalbán de Córdoba;Confirmados PDIA;600;
Montalbán de Córdoba;Confirmados PDIA 14 días;0;
Montalbán de Córdoba;Tasa PDIA 14 días;0;
Montalbán de Córdoba;Confirmados PDIA 7 días;0;
Montalbán de Córdoba;Tasa PDIA 7 dias;0;
Montalbán de Córdoba;Total Confirmados ;601;
Montalbán de Córdoba;Curados;587;
Montalbán de Córdoba;Fallecidos;6;
Montemayor;Confirmados PDIA;671;
Montemayor;Confirmados PDIA 14 días;0;
Montemayor;Tasa PDIA 14 días;0;
Montemayor;Confirmados PDIA 7 días;0;
Montemayor;Tasa PDIA 7 dias;0;
Montemayor;Total Confirmados ;674;
Montemayor;Curados;665;
Montemayor;Fallecidos;2;
Montilla;Confirmados PDIA;3470;
Montilla;Confirmados PDIA 14 días;0;
Montilla;Tasa PDIA 14 días;0;
Montilla;Confirmados PDIA 7 días;0;
Montilla;Tasa PDIA 7 dias;0;
Montilla;Total Confirmados ;3473;
Montilla;Curados;3400;
Montilla;Fallecidos;34;
Monturque;Confirmados PDIA;269;
Monturque;Confirmados PDIA 14 días;0;
Monturque;Tasa PDIA 14 días;0;
Monturque;Confirmados PDIA 7 días;0;
Monturque;Tasa PDIA 7 dias;0;
Monturque;Total Confirmados ;269;
Monturque;Curados;265;
Monturque;Fallecidos;0;
Moriles;Confirmados PDIA;670;
Moriles;Confirmados PDIA 14 días;0;
Moriles;Tasa PDIA 14 días;0;
Moriles;Confirmados PDIA 7 días;0;
Moriles;Tasa PDIA 7 dias;0;
Moriles;Total Confirmados ;671;
Moriles;Curados;658;
Moriles;Fallecidos;7;
Nueva Carteya;Confirmados PDIA;913;
Nueva Carteya;Confirmados PDIA 14 días;0;
Nueva Carteya;Tasa PDIA 14 días;0;
Nueva Carteya;Confirmados PDIA 7 días;0;
Nueva Carteya;Tasa PDIA 7 dias;0;
Nueva Carteya;Total Confirmados ;914;
Nueva Carteya;Curados;900;
Nueva Carteya;Fallecidos;3;
Palenciana;Confirmados PDIA;348;
Palenciana;Confirmados PDIA 14 días;0;
Palenciana;Tasa PDIA 14 días;0;
Palenciana;Confirmados PDIA 7 días;0;
Palenciana;Tasa PDIA 7 dias;0;
Palenciana;Total Confirmados ;348;
Palenciana;Curados;344;
Palenciana;Fallecidos;3;
Priego de Córdoba;Confirmados PDIA;3283;
Priego de Córdoba;Confirmados PDIA 14 días;0;
Priego de Córdoba;Tasa PDIA 14 días;0;
Priego de Córdoba;Confirmados PDIA 7 días;0;
Priego de Córdoba;Tasa PDIA 7 dias;0;
Priego de Córdoba;Total Confirmados ;3297;
Priego de Córdoba;Curados;3203;
Priego de Córdoba;Fallecidos;44;
Puente Genil;Confirmados PDIA;4702;
Puente Genil;Confirmados PDIA 14 días;0;
Puente Genil;Tasa PDIA 14 días;0;
Puente Genil;Confirmados PDIA 7 días;0;
Puente Genil;Tasa PDIA 7 dias;0;
Puente Genil;Total Confirmados ;4736;
Puente Genil;Curados;4621;
Puente Genil;Fallecidos;63;
Rambla (La);Confirmados PDIA;1135;
Rambla (La);Confirmados PDIA 14 días;0;
Rambla (La);Tasa PDIA 14 días;0;
Rambla (La);Confirmados PDIA 7 días;0;
Rambla (La);Tasa PDIA 7 dias;0;
Rambla (La);Total Confirmados ;1139;
Rambla (La);Curados;1116;
Rambla (La);Fallecidos;5;
Rute;Confirmados PDIA;1682;
Rute;Confirmados PDIA 14 días;0;
