Territorio;Medida;Valor;
Huelva;Confirmados PDIA;82852;
Huelva;Confirmados PDIA 14 días;0;
Huelva;Tasa PDIA 14 días;0;
Huelva;Confirmados PDIA 7 días;0;
Huelva;Tasa PDIA 7 dias;0;
Huelva;Total Confirmados ;83081;
Huelva;Curados;80321;
Huelva;Fallecidos;491;
Sierra de Huelva-Andévalo Central;Confirmados PDIA;12239;
Sierra de Huelva-Andévalo Central;Confirmados PDIA 14 días;0;
Sierra de Huelva-Andévalo Central;Tasa PDIA 14 días;0;
Sierra de Huelva-Andévalo Central;Confirmados PDIA 7 días;0;
Sierra de Huelva-Andévalo Central;Tasa PDIA 7 dias;0;
Sierra de Huelva-Andévalo Central;Total Confirmados ;12271;
Sierra de Huelva-Andévalo Central;Curados;11989;
Sierra de Huelva-Andévalo Central;Fallecidos;64;
Alájar;Confirmados PDIA;79;
Alájar;Confirmados PDIA 14 días;0;
Alájar;Tasa PDIA 14 días;0;
Alájar;Confirmados PDIA 7 días;0;
Alájar;Tasa PDIA 7 dias;0;
Alájar;Total Confirmados ;80;
Alájar;Curados;79;
Alájar;Fallecidos;0;
Almonaster la Real;Confirmados PDIA;290;
Almonaster la Real;Confirmados PDIA 14 días;0;
Almonaster la Real;Tasa PDIA 14 días;0;
Almonaster la Real;Confirmados PDIA 7 días;0;
Almonaster la Real;Tasa PDIA 7 dias;0;
Almonaster la Real;Total Confirmados ;293;
Almonaster la Real;Curados;290;
Almonaster la Real;Fallecidos;1;
Aracena;Confirmados PDIA;1634;
Aracena;Confirmados PDIA 14 días;0;
Aracena;Tasa PDIA 14 días;0;
Aracena;Confirmados PDIA 7 días;0;
Aracena;Tasa PDIA 7 dias;0;
Aracena;Total Confirmados ;1644;
Aracena;Curados;1607;
Aracena;Fallecidos;20;
Aroche;Confirmados PDIA;639;
Aroche;Confirmados PDIA 14 días;0;
Aroche;Tasa PDIA 14 días;0;
Aroche;Confirmados PDIA 7 días;0;
Aroche;Tasa PDIA 7 dias;0;
Aroche;Total Confirmados ;639;
Aroche;Curados;629;
Aroche;Fallecidos;1;
Berrocal;Confirmados PDIA;36;
Berrocal;Confirmados PDIA 14 días;0;
Berrocal;Tasa PDIA 14 días;0;
Berrocal;Confirmados PDIA 7 días;0;
Berrocal;Tasa PDIA 7 dias;0;
Berrocal;Total Confirmados ;36;
Berrocal;Curados;35;
Berrocal;Fallecidos;1;
Calañas;Confirmados PDIA;501;
Calañas;Confirmados PDIA 14 días;0;
Calañas;Tasa PDIA 14 días;0;
Calañas;Confirmados PDIA 7 días;0;
Calañas;Tasa PDIA 7 dias;0;
Calañas;Total Confirmados ;501;
Calañas;Curados;495;
Calañas;Fallecidos;2;
Campillo (El);Confirmados PDIA;389;
Campillo (El);Confirmados PDIA 14 días;0;
Campillo (El);Tasa PDIA 14 días;0;
Campillo (El);Confirmados PDIA 7 días;0;
Campillo (El);Tasa PDIA 7 dias;0;
Campillo (El);Total Confirmados ;389;
Campillo (El);Curados;372;
Campillo (El);Fallecidos;1;
Campofrío;Confirmados PDIA;124;
Campofrío;Confirmados PDIA 14 días;0;
