Territorio;Medida;Valor;
Málaga;Confirmados PDIA;273687;
Málaga;Confirmados PDIA 14 días;0;
Málaga;Tasa PDIA 14 días;0;
Málaga;Confirmados PDIA 7 días;0;
Málaga;Tasa PDIA 7 dias;0;
Málaga;Total Confirmados ;275687;
Málaga;Curados;270181;
Málaga;Fallecidos;2364;
Axarquía;Confirmados PDIA;26677;
Axarquía;Confirmados PDIA 14 días;0;
Axarquía;Tasa PDIA 14 días;0;
Axarquía;Confirmados PDIA 7 días;0;
Axarquía;Tasa PDIA 7 dias;0;
Axarquía;Total Confirmados ;26768;
Axarquía;Curados;26353;
Axarquía;Fallecidos;205;
Alcaucín;Confirmados PDIA;311;
Alcaucín;Confirmados PDIA 14 días;0;
Alcaucín;Tasa PDIA 14 días;0;
Alcaucín;Confirmados PDIA 7 días;0;
Alcaucín;Tasa PDIA 7 dias;0;
Alcaucín;Total Confirmados ;311;
Alcaucín;Curados;308;
Alcaucín;Fallecidos;3;
Alfarnate;Confirmados PDIA;171;
Alfarnate;Confirmados PDIA 14 días;0;
Alfarnate;Tasa PDIA 14 días;0;
Alfarnate;Confirmados PDIA 7 días;0;
Alfarnate;Tasa PDIA 7 dias;0;
Alfarnate;Total Confirmados ;171;
Alfarnate;Curados;166;
Alfarnate;Fallecidos;3;
Alfarnatejo;Confirmados PDIA;53;
Alfarnatejo;Confirmados PDIA 14 días;0;
Alfarnatejo;Tasa PDIA 14 días;0;
Alfarnatejo;Confirmados PDIA 7 días;0;
Alfarnatejo;Tasa PDIA 7 dias;0;
Alfarnatejo;Total Confirmados ;53;
Alfarnatejo;Curados;52;
Alfarnatejo;Fallecidos;1;
Algarrobo;Confirmados PDIA;1072;
Algarrobo;Confirmados PDIA 14 días;0;
Algarrobo;Tasa PDIA 14 días;0;
Algarrobo;Confirmados PDIA 7 días;0;
Algarrobo;Tasa PDIA 7 dias;0;
Algarrobo;Total Confirmados ;1077;
Algarrobo;Curados;1060;
Algarrobo;Fallecidos;4;
Almáchar;Confirmados PDIA;279;
Almáchar;Confirmados PDIA 14 días;0;
Almáchar;Tasa PDIA 14 días;0;
Almáchar;Confirmados PDIA 7 días;0;
Almáchar;Tasa PDIA 7 dias;0;
Almáchar;Total Confirmados ;279;
Almáchar;Curados;272;
Almáchar;Fallecidos;5;
Árchez;Confirmados PDIA;34;
Árchez;Confirmados PDIA 14 días;0;
Árchez;Tasa PDIA 14 días;0;
Árchez;Confirmados PDIA 7 días;0;
Árchez;Tasa PDIA 7 dias;0;
Árchez;Total Confirmados ;34;
Árchez;Curados;34;
Árchez;Fallecidos;0;
Arenas;Confirmados PDIA;127;
