Fecha;Tipo vacuna;Territorio;Medida;Valor;
23/08/2022;TOTAL;Andalucía;Dosis recibidas ;17080470;
23/08/2022;TOTAL;Andalucía;Dosis administradas ;18706017;
23/08/2022;TOTAL;Andalucía;Porcentaje adm/recib;109,51699221391449;
23/08/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12483630;
23/08/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12931794;
23/08/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;103,59001348165557;
23/08/2022;Moderna;Andalucía;Dosis recibidas ;2716140;
23/08/2022;Moderna;Andalucía;Dosis administradas ;3658528;
23/08/2022;Moderna;Andalucía;Porcentaje adm/recib;134,69585514737827;
23/08/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1537200;
23/08/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1787655;
23/08/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,29293520686963;
23/08/2022;Janssen;Andalucía;Dosis recibidas ;333500;
23/08/2022;Janssen;Andalucía;Dosis administradas ;327944;
23/08/2022;Janssen;Andalucía;Porcentaje adm/recib;98,33403298350825;
23/08/2022;Novavax;Andalucía;Dosis recibidas ;10000;
23/08/2022;Novavax;Andalucía;Dosis administradas ;96;
23/08/2022;Novavax;Andalucía;Porcentaje adm/recib;0,96;
16/08/2022;TOTAL;Andalucía;Dosis recibidas ;17080470;
16/08/2022;TOTAL;Andalucía;Dosis administradas ;18698588;
16/08/2022;TOTAL;Andalucía;Porcentaje adm/recib;109,47349809460746;
16/08/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12483630;
16/08/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12924839;
16/08/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;103,53430051996094;
16/08/2022;Moderna;Andalucía;Dosis recibidas ;2716140;
16/08/2022;Moderna;Andalucía;Dosis administradas ;3658149;
16/08/2022;Moderna;Andalucía;Porcentaje adm/recib;134,68190152201285;
16/08/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1537200;
16/08/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1787576;
16/08/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,28779599271401;
16/08/2022;Janssen;Andalucía;Dosis recibidas ;333500;
16/08/2022;Janssen;Andalucía;Dosis administradas ;327928;
16/08/2022;Janssen;Andalucía;Porcentaje adm/recib;98,32923538230884;
16/08/2022;Novavax;Andalucía;Dosis recibidas ;10000;
16/08/2022;Novavax;Andalucía;Dosis administradas ;96;
16/08/2022;Novavax;Andalucía;Porcentaje adm/recib;0,96;
09/08/2022;TOTAL;Andalucía;Dosis recibidas ;17080470;
09/08/2022;TOTAL;Andalucía;Dosis administradas ;18690939;
09/08/2022;TOTAL;Andalucía;Porcentaje adm/recib;109,42871595453755;
09/08/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12483630;
09/08/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12917572;
09/08/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;103,47608828521832;
09/08/2022;Moderna;Andalucía;Dosis recibidas ;2716140;
09/08/2022;Moderna;Andalucía;Dosis administradas ;3657840;
09/08/2022;Moderna;Andalucía;Porcentaje adm/recib;134,6705250833904;
09/08/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1537200;
09/08/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1787514;
09/08/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,28376268540204;
09/08/2022;Janssen;Andalucía;Dosis recibidas ;333500;
09/08/2022;Janssen;Andalucía;Dosis administradas ;327917;
09/08/2022;Janssen;Andalucía;Porcentaje adm/recib;98,32593703148426;
09/08/2022;Novavax;Andalucía;Dosis recibidas ;10000;
09/08/2022;Novavax;Andalucía;Dosis administradas ;96;
09/08/2022;Novavax;Andalucía;Porcentaje adm/recib;0,96;
02/08/2022;TOTAL;Andalucía;Dosis recibidas ;17080470;
02/08/2022;TOTAL;Andalucía;Dosis administradas ;18680368;
02/08/2022;TOTAL;Andalucía;Porcentaje adm/recib;109,36682655688045;
02/08/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12483630;
02/08/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12907364;
02/08/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;103,39431719780224;
02/08/2022;Moderna;Andalucía;Dosis recibidas ;2716140;
02/08/2022;Moderna;Andalucía;Dosis administradas ;3657584;
02/08/2022;Moderna;Andalucía;Porcentaje adm/recib;134,66109994330188;
02/08/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1537200;
02/08/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1787438;
02/08/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,27881863127764;
02/08/2022;Janssen;Andalucía;Dosis recibidas ;333500;
02/08/2022;Janssen;Andalucía;Dosis administradas ;327888;
02/08/2022;Janssen;Andalucía;Porcentaje adm/recib;98,31724137931035;
02/08/2022;Novavax;Andalucía;Dosis recibidas ;10000;
02/08/2022;Novavax;Andalucía;Dosis administradas ;94;
02/08/2022;Novavax;Andalucía;Porcentaje adm/recib;0,9400000000000001;
26/07/2022;TOTAL;Andalucía;Dosis recibidas ;17080470;
26/07/2022;TOTAL;Andalucía;Dosis administradas ;18666479;
26/07/2022;TOTAL;Andalucía;Porcentaje adm/recib;109,285511464263;
26/07/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12483630;
26/07/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12893914;
26/07/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;103,28657610006064;
26/07/2022;Moderna;Andalucía;Dosis recibidas ;2716140;
26/07/2022;Moderna;Andalucía;Dosis administradas ;3657293;
26/07/2022;Moderna;Andalucía;Porcentaje adm/recib;134,6503862098419;
26/07/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1537200;
26/07/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1787317;
26/07/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,27094717668488;
26/07/2022;Janssen;Andalucía;Dosis recibidas ;333500;
26/07/2022;Janssen;Andalucía;Dosis administradas ;327866;
26/07/2022;Janssen;Andalucía;Porcentaje adm/recib;98,31064467766117;
26/07/2022;Novavax;Andalucía;Dosis recibidas ;10000;
26/07/2022;Novavax;Andalucía;Dosis administradas ;89;
26/07/2022;Novavax;Andalucía;Porcentaje adm/recib;0,89;
19/07/2022;TOTAL;Andalucía;Dosis recibidas ;17080470;
19/07/2022;TOTAL;Andalucía;Dosis administradas ;18649734;
19/07/2022;TOTAL;Andalucía;Porcentaje adm/recib;109,18747552028721;
19/07/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12483630;
19/07/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12877649;
19/07/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;103,15628547145342;
19/07/2022;Moderna;Andalucía;Dosis recibidas ;2716140;
19/07/2022;Moderna;Andalucía;Dosis administradas ;3656972;
19/07/2022;Moderna;Andalucía;Porcentaje adm/recib;134,6385679677778;
19/07/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1537200;
19/07/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1787184;
19/07/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,26229508196721;
19/07/2022;Janssen;Andalucía;Dosis recibidas ;333500;
19/07/2022;Janssen;Andalucía;Dosis administradas ;327840;
19/07/2022;Janssen;Andalucía;Porcentaje adm/recib;98,30284857571215;
19/07/2022;Novavax;Andalucía;Dosis recibidas ;10000;
19/07/2022;Novavax;Andalucía;Dosis administradas ;89;
19/07/2022;Novavax;Andalucía;Porcentaje adm/recib;0,89;
12/07/2022;TOTAL;Andalucía;Dosis recibidas ;17080470;
12/07/2022;TOTAL;Andalucía;Dosis administradas ;18627314;
12/07/2022;TOTAL;Andalucía;Porcentaje adm/recib;109,05621449526856;
12/07/2022;Pfizer/BioNtech;Andalucía;Dosis recibidas ;12483630;
12/07/2022;Pfizer/BioNtech;Andalucía;Dosis administradas ;12856045;
12/07/2022;Pfizer/BioNtech;Andalucía;Porcentaje adm/recib;102,98322683386164;
12/07/2022;Moderna;Andalucía;Dosis recibidas ;2716140;
12/07/2022;Moderna;Andalucía;Dosis administradas ;3656333;
12/07/2022;Moderna;Andalucía;Porcentaje adm/recib;134,61504193451;
12/07/2022;AstraZeneca/Oxford;Andalucía;Dosis recibidas ;1537200;
12/07/2022;AstraZeneca/Oxford;Andalucía;Dosis administradas ;1787045;
12/07/2022;AstraZeneca/Oxford;Andalucía;Porcentaje adm/recib;116,25325266718708;
12/07/2022;Janssen;Andalucía;Dosis recibidas ;333500;
12/07/2022;Janssen;Andalucía;Dosis administradas ;327804;
12/07/2022;Janssen;Andalucía;Porcentaje adm/recib;98,2920539730135;
12/07/2022;Novavax;Andalucía;Dosis recibidas ;10000;
12/07/2022;Novavax;Andalucía;Dosis administradas ;87;
12/07/2022;Novavax;Andalucía;Porcentaje adm/recib;0,8699999999999999;
05/07/2022;TOTAL;Andalucía;Dosis recibidas ;17080470;
05/07/2022;TOTAL;Andalucía;Dosis administradas ;18604655;
05/07/2022;TOTAL;Andalucía;Porcentaje adm/recib;108,92355421133024;
