Fecha;Territorio;Tipo vacuna;Medida;Valor;
23/08/2022;Andalucía;TOTAL;Dosis administradas;18706017;
23/08/2022;Andalucía;Pfizer/BioNtech;Dosis administradas;12931794;
23/08/2022;Andalucía;Moderna;Dosis administradas;3658528;
23/08/2022;Andalucía;AstraZeneca/Oxford;Dosis administradas;1787655;
23/08/2022;Andalucía;Janssen;Dosis administradas;327944;
23/08/2022;Andalucía;Novavax;Dosis administradas;96;
23/08/2022;Almería;TOTAL;Dosis administradas;1611579;
23/08/2022;Almería;Pfizer/BioNtech;Dosis administradas;1110793;
23/08/2022;Almería;Moderna;Dosis administradas;317845;
23/08/2022;Almería;AstraZeneca/Oxford;Dosis administradas;148098;
23/08/2022;Almería;Janssen;Dosis administradas;34822;
23/08/2022;Almería;Novavax;Dosis administradas;21;
23/08/2022;Cádiz;TOTAL;Dosis administradas;2762299;
23/08/2022;Cádiz;Pfizer/BioNtech;Dosis administradas;1891666;
23/08/2022;Cádiz;Moderna;Dosis administradas;554376;
23/08/2022;Cádiz;AstraZeneca/Oxford;Dosis administradas;265042;
23/08/2022;Cádiz;Janssen;Dosis administradas;51206;
23/08/2022;Cádiz;Novavax;Dosis administradas;9;
23/08/2022;Córdoba;TOTAL;Dosis administradas;1809984;
23/08/2022;Córdoba;Pfizer/BioNtech;Dosis administradas;1262333;
23/08/2022;Córdoba;Moderna;Dosis administradas;337966;
23/08/2022;Córdoba;AstraZeneca/Oxford;Dosis administradas;183743;
23/08/2022;Córdoba;Janssen;Dosis administradas;25939;
23/08/2022;Córdoba;Novavax;Dosis administradas;3;
23/08/2022;Granada;TOTAL;Dosis administradas;2033899;
23/08/2022;Granada;Pfizer/BioNtech;Dosis administradas;1382579;
23/08/2022;Granada;Moderna;Dosis administradas;419011;
23/08/2022;Granada;AstraZeneca/Oxford;Dosis administradas;201669;
23/08/2022;Granada;Janssen;Dosis administradas;30638;
23/08/2022;Granada;Novavax;Dosis administradas;2;
23/08/2022;Huelva;TOTAL;Dosis administradas;1148735;
23/08/2022;Huelva;Pfizer/BioNtech;Dosis administradas;789430;
23/08/2022;Huelva;Moderna;Dosis administradas;215791;
